Problem Size	VAST	Standard Deviation	Lower 95% CI of Mean	Upper 95% CI of Mean	OpenCL	Standard Deviation	Lower 95% CI of Mean	Upper 95% CI of Mean		
N	us				us					
		Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]		Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]		
11000000	985863.4	48216.6954745852	951371.262671616	1020355.53732838	442978.5	28141.2327861134	422847.479898047	463109.520101953	--	--
11250000	998168.9	5799.47929559196	994020.203488807	1002317.59651119	427417.4	36551.4932395989	401270.043530035	453564.756469965	--	--
11500000	1022004.9	19932.2230819567	1007746.25018927	1036263.54981073	440133.5	38054.2540336236	412911.133491105	467355.866508895	--	--
11750000	1050503.9	39580.8861263166	1022189.44695816	1078818.35304184	475766.5	25002.291136125	457880.942914363	493652.057085637	--	--
12000000	1044100.7	28707.5420908862	1023564.56672888	1064636.83327112	443408.5	51517.6225453215	406555.022295339	480261.977704661	--	--
12250000	1057180.1	20549.8106152398	1042479.65479453	1071880.54520547	474332.9	31906.0458549786	451508.695553727	497157.104446273	--	--
12500000	1075067	14285.6399771083	1064847.6713823	1085286.3286177	496587	30004.9492547109	475122.757790158	518051.242209842	--	--
12750000	1097249.2	22965.2174327467	1080820.87728585	1113677.52271415	523426.7	56085.7670755741	483305.369388322	563548.030611678	--	--
13000000	1160823.5	93334.2990345874	1094056.18158337	1227590.81841663	506196.6	49789.1591707807	470579.590192919	541813.609807081	--	--
13250000	1144309.2	24894.7398361805	1126500.58045998	1162117.81954002	483799.3	7584.34865071191	478373.785193732	489224.814806268	--	--
13500000	1179689.3	27137.7061957467	1160276.15939242	1199102.44060758	536500.1	33886.6967422321	512259.023623158	560741.176376842	--	--
13750000	1214625.3	20891.8875645814	1199680.14774861	1229570.45225139	558955.1	41402.482959493	529337.555414689	588572.644585311	--	--
14000000	1233461.8	18268.5604298143	1220393.26245434	1246530.33754566	467143.2	33992.4395280284	442826.479810299	491459.920189701	--	--
14250000	1210374.9	41154.9992277163	1180934.39456636	1239815.40543364	572892.2	56361.1749775006	532573.85449377	613210.54550623	--	--
14500000	1227016.7	55828.9824056964	1187079.0620286	1266954.3379714	581234.4	36025.9361238539	555463.004346755	607005.795653245	--	--
14750000	1266494.9	25542.9532941845	1248222.57660405	1284767.22339595	575335.9	62914.4080962382	530329.655116768	620342.144883232	--	--
15000000	1277208.5	34197.4910621298	1252745.09481656	1301671.90518344	596913.3	75818.1962563517	542676.24348826	651150.35651174	--	--
15250000	1302489.1	20019.7811312823	1288167.81494992	1316810.38505008	677417.1	73383.1224502231	624921.989909495	729912.210090505	--	--
15500000	1338896.7	35141.8163764102	1313757.76535312	1364035.63464688	638110.6	45997.3809355852	605206.064250294	671015.135749706	--	--
15750000	1382706.1	78180.337464736	1326779.26989124	1438632.93010876	575927.2	67942.4961841507	527324.078493008	624530.321506992	--	--
